kernel_type,kernel_name,slope,intercept,unroll_offset,intra_block_offset,vector_offset,displacement_size,unroll_size,vector_size,DPU_frequency,VPU_frequency
ShaveModel1on1NPU40,sigmoid,4.019940428991265e-05,3.3992584112239674,0.573,0.052000000000000046,0.10499999999999998,1,16,32,1700,971
ShaveModel1on1NPU40,relu,4.138521194731098e-05,2.352712326542653,0.7289999999999996,0.31300000000000017,0.37625806451612887,1,16,32,1700,971
ShaveModel1on1NPU40,abs,4.023228074761724e-05,2.2384904425763006,0.7290000000000001,0.3120000000000003,0.677,0,16,32,1700,971
ShaveModel1on1NPU40,clamp,4.730290773176054e-05,3.292034321537221,0.9900000000000002,0.20800000000000018,0.4679999999999995,0,16,32,1700,971
ShaveModel1on1NPU40,cosh,0.00018525546488597634,3.0593591723839992,0.052000000000000046,0.5209999999999999,0.7549999999999999,0,16,32,1700,971
ShaveModel1on1NPU40,elu,0.0001227620081529506,3.156464879469926,1.302,0.41600000000000037,0.4159999999999995,0,16,32,1700,971
ShaveModel1on1NPU40,exp,4.024917463338663e-05,3.4082968611842306,0.7290000000000001,0.5730000000000004,0.365,0,16,32,1700,971
ShaveModel1on1NPU40,gelu,0.00019821381450153136,3.831757810197061,1.5099999999999998,0.6770000000000005,0.7549999999999999,0,16,32,1700,971
ShaveModel1on1NPU40,hsigmoid,6.748150440665098e-05,3.276396283425415,1.093,0.6769999999999996,0.4169999999999998,0,16,32,1700,971
ShaveModel1on1NPU40,log,4.035566981806428e-05,3.3466549831013506,0.677,0.3120000000000003,0.456774193548387,1,16,32,1700,971
ShaveModel1on1NPU40,selu,0.00021342145530944595,3.036294323488992,0.15700000000000003,0.20800000000000018,0.5914838709677415,0,16,32,1700,971
ShaveModel1on1NPU40,sinh,0.00018540567624076933,3.060341125986689,0.052999999999999936,0.625,0.5641290322580645,1,16,32,1700,971
ShaveModel1on1NPU40,sqrt,4.025701058769676e-05,1.4208838104003787,0.052000000000000046,0.2610000000000001,0.37574193548387086,1,16,32,1700,971
ShaveModel1on1NPU40,tanh,4.02429343709191e-05,3.3806505403657754,0.31300000000000017,0.46899999999999986,0.41700000000000026,1,16,32,1700,971
ShaveModel1on1NPU40,hardsigmoid,0.00010074916597764563,3.1874940865937447,0.3129999999999997,0.3119999999999994,0.3649999999999993,0,8,32,1700,971
